puuid,total_game_duration,avg_time_between_games,win_loss_ratio,unique_champions,kill_death_ratio,avg_champion_level,avg_gold_usage,avg_daily_streak,churn,total_active_days
0cCJbmt0F5wcKE_dLGxVW_Bms5plGIEJAprpvwDJH2w476hQiFAwNi257p2lL5MO-bmSVo6k1VX3HA,1619.6224489795918,13054.010214504597,1.0675105485232068,49,1.0868948754304233,14.31,22231.441836734695,114,1,114
J0wJE-ZsFGHS_CPunw-8MyEAVgp5e6ZGaJs70eAPsvwM2QoZorrqjrzsI_vGHQUW1hHS0Aw3y2q8-w,1775.5,1066502.0,1.0,2,1.6666666666666667,16.0,27291.0,2,1,2
gUxmnDb1c8CT2D2EPzLowDF5wbTK9qrDKSzSEycYVUQddB8nz_1gEe_olB7ew6DEUhWw8ojCY0FqDA,1884.0,0,0.0,1,1.6666666666666667,16.0,23352.0,1,0,1
R6XuXNeTAtg93o-K0NTfl8bzj59DZ1MWtuht-TtlXe_LYmnOGqobse-zeIh5EIM6gf73BKqmQFtcjA,1884.0,0,0.0,1,0.6,14.0,25081.0,1,0,1
JiIxs6-umokWDpwSf1Xg4__cPjzW9m6-DM7VUsLpq0dJNz0E_oJL2gMUDlkouvgZq3bipes4Sk_8iA,1901.5,4613987.0,0.3333333333333333,4,0.3333333333333333,12.75,16591.75,4,1,4
5YnQt6f3pGIK81qs_U1s_VU1pM1sryQKQM3ELsHZYASNcgSNgFUKq-RU-nHt2vLB50dWcN21IpQuUQ,1884.0,0,1.0,1,1.3333333333333333,17.0,28619.0,1,0,1
Ib5podjUsqOfEnz9kQsjPdoJlPgMlxnE3FnI90pgyaOWDGRheQjZTGGdVXCmkYvWOlX8YOoescw5HA,1884.0,0,1.0,1,2.0,18.0,29796.0,1,0,1
zQHZGTX7412JFB4nbgx5nDyzTMX034C9LPEg9-fSiN78Fx0g4qMRLxw3Cc31GWK-QFqdz2RheSwLJg,1663.8333333333333,878106.8,0.5,1,0.6666666666666666,14.5,18478.166666666668,5,1,5
p0pgwLb5RvTrfpas4udJtx1gP6OvzZ2xtkR94g3eeDtC0MAjrKoFV9OOCs_J6Dq1Lfd7K0bn3Q4PtA,1528.0,935658.0,1.0,2,0.45454545454545453,12.5,18318.5,2,1,2
roJHdxS6O34JBHgw_ji9hhKUwwAz9Tzh2c5cWOTuD9GkiBuu5irmnphkLgHuzyr26SsViXUyPBf_yg,1884.0,0,1.0,1,1.5,12.0,17288.0,1,0,1
FElCQ9LHIAgEMY95AQPkQxsgNqxRQBKa7NXFP0Z8s8NwzxFHfppD7qI-yznG_e4gGeMjCt-I-piibQ,1595.0,0,1.0,1,1.25,14.0,21462.0,1,0,1
ftQM9CuIFQlxg08MnUWy2qVuZLBxjNQ_gUwaaYmbsVdMbvatx4Nwt6upGX97D1ZjGu7qHzmCUSAoeA,1711.0,366.0,2.0,1,0.6666666666666666,13.5,20636.5,1,0,1
twc6NW1SZRr-qnf8SsRLf8CEZzWqzosXWJqqyz0Ol4RmB8Dl3IgplTotNtVDzR8GvppQUR64Q9mp0Q,1595.0,0,1.0,1,2.6666666666666665,15.0,21558.0,1,0,1
N7MMLXLe_Ladlq7LTR93gpvGZRP6sAafCclAQnNIEQLVcHtb3xy6I4zEQ7LC3HXQgdo_amxMp4eBSg,1550.0,6831416.0,2.0,1,1.7857142857142858,13.67,24700.666666666668,3,1,3
XmC41JPvUfuL2wbCNOQfhZJp5dSo_rA_tCLf2ZxBldJF5JL4Rwa7ckoNvvJsS4AtptC6Xk_lDSNXRg,1711.0,366.0,2.0,2,0.7777777777777778,11.5,16768.5,1,0,1
X7UAi3SejTecGy0Nwv9yEjUJKLjubOA_W4GZpqjwZu9cwwPv9f6AjOPVMYo3JWKk6WtotTCOF4uwng,1595.0,0,0.0,1,2.3333333333333335,14.0,21569.0,1,0,1
fJuNmXKYMQs7CxTtGdZohW67Xh9Omd7dlzCa03d-u75GF7-XJgs_U5MmwxVO_aVtBUtZGr_J7MTesA,1711.0,366.0,1.0,2,0.5333333333333333,13.5,18613.0,1,0,1
1LbrFhoO4EkAy2zLXh9_V4Exd8coyHT0b3GayDboTGRS9wUYICAJ6YLf4Z9ouaRXDU84KfmEthQKfQ,1711.0,366.0,0.0,1,0.5,12.5,18923.5,1,0,1
HAmvlELwXKknGOvwGH1ulZ3bWnWYoP0BdX6OIQ9bGBc4T1urNklgc0kIHwM3PZ0tcXUzyKr24gH8pQ,1718.5,515476.0,0.0,2,0.2222222222222222,11.0,13482.0,2,1,2
6gQIgQKuS9eGs3lLrU4hkD4LHlwk3Ajce9XCsHT6e9216lvRW-gaA-OoX59li2ODeAMgQu36u-MOCA,1827.0,0,1.0,1,4.0,14.0,30905.0,1,0,1
